ID,P,PET,Q,Qb
1073000,1258.49393976312,805.812385304238,616.968169831149,248.455177695207
1118300,1387.49881686503,843.969049807739,784.717231870122,352.570527094519
1121000,1356.67634066241,839.879773942524,674.212340741244,291.205426570774
1123000,1391.22524559201,842.338191618674,652.079188526359,314.783520211922
1195100,1321.06486654521,861.545977689144,602.272192517694,248.993383160396
1411300,1154.70740083805,926.515595227137,443.119717504355,290.905729563546
1439500,1327.92993191515,854.919653615455,736.813633360741,359.443229566695
1440000,1297.86974017686,854.988319334565,657.548106917043,324.450716496109
1440400,1347.04105466012,851.129153471477,764.219587980286,359.550536137327
1451800,1282.1544323847,882.121292564734,631.522430363119,231.585888790607
1485500,1177.31038954161,961.4018306826,403.045493798359,150.398507323279
1486000,1183.21666432402,977.77683067845,384.764205884916,168.43661857287
1487000,1191.10071689838,953.296272936019,432.385986024063,300.830000132293
1491000,1184.64789730281,947.912484191114,445.839465185438,211.615478648371
1516500,1116.46708286889,825.719012022045,368.775973026084,116.445871424596
1532000,1140.38155459547,837.311042733057,480.406048940159,161.350780405593
1539000,1232.2737467863,861.027015330608,630.24461121634,265.193478539886
1542810,1231.77771096095,828.788152981272,579.131058915202,162.739056406741
1543000,1220.00245468156,831.918959471653,592.040906898686,202.669694146094
1543500,1223.31043919149,834.69765047787,589.891922934249,220.042045913874
1545600,1204.04715235218,838.878547623733,546.645062202141,230.099417961367
1547700,1144.46442616826,855.90141559325,479.024258264449,166.938430361577
1549500,1160.76863016591,835.642941533083,546.306745407573,202.960495209583
1550000,1186.43406853738,834.835309984655,604.547911747528,238.408053741759
1552000,1249.86804228168,841.639464376042,631.510497149742,251.890326064542
1552500,1312.560308653,834.641065166776,717.562306056847,270.736459882649
1557500,1133.12588625816,860.622146409656,576.468059481708,251.10469984853
1567500,1168.16336040225,887.705495543165,481.876252631695,222.531906807276
1568000,1201.31399331401,884.691169375345,515.556335264377,216.020163773723
1580000,1244.34516371666,922.1880974074,469.138744681726,305.88198702014
1583500,1184.65912704578,932.735350745309,402.678695818805,268.517146847201
1586610,1205.41215254884,930.821692598435,421.194016291714,253.508244817524
1591400,1185.08556232605,958.882315913719,377.045547506941,216.899388607992
1596500,1205.0792141168,891.366180728331,549.177814272894,184.24819114775
1605500,1147.86384269202,919.86794564747,361.527424274561,160.421291411029
1606500,1204.18598558003,913.211727891564,423.35169815191,176.957028536039
1613050,1112.10014204758,893.687210825831,443.003222135894,137.64168305398
1620500,1204.53981776331,925.141255702132,571.26187987608,180.871623981781
1632000,1058.23798479915,931.341901220202,339.424393786331,95.7373771592691
1632900,1045.68687871813,947.884379045927,279.506294949183,145.446821875115
1634500,1069.65776345705,921.710764622028,356.66056358177,134.818532579804
1638480,1095.49509129698,937.369968770747,365.461137502994,142.45004391405
1639500,1154.52794699351,926.83190883417,401.551196069402,194.947860386415
1644000,1095.4700435185,936.622506415491,350.371873357593,145.069158790804
1658500,1163.54309997686,981.834451725939,316.803146360812,94.5437902024463
1664000,1135.71678614349,940.730047978789,385.068672842211,178.734426310092
1666500,1161.69961927267,971.788403971463,433.185207253928,216.971568907901
1667500,1166.52670780169,982.849017585812,411.112744773969,193.410229241723
1669000,1172.8452659358,977.525443453477,357.25837618992,202.060639534132
1669520,1203.3052603231,982.098689861417,387.955118795229,194.10702329164
2011400,1185.83649939775,930.201381746235,359.423873709297,159.353172515404
2011460,1226.37150771866,920.817343346944,514.412384330924,175.28309820184
2013000,1105.91571529748,949.936730334708,362.04043607602,126.873678186606
2014000,1139.89349492001,932.928240694782,391.015097410667,172.104751856181
2015700,1149.08583243506,927.699293758787,491.739096599551,226.045423100763
2016000,1137.23746269114,940.677502591341,418.053831970071,166.474661572997
2017500,1104.5311088677,951.089104271346,426.989977613713,174.455604702688
2018000,1116.33931368026,958.830779985216,403.858849209913,166.899186740144
2027000,1284.44686170882,969.823731374065,588.921509699573,285.973437481165
2027500,1347.81460117966,970.915092644029,675.021302012535,323.087033860931
2028500,1229.39529787375,949.984426517976,515.474034993518,244.518752962602
2038850,1153.19205995107,1056.30151563411,299.424206788154,150.608203574215
2046000,1193.61257443909,1003.15277976439,301.559595323497,104.082797442664
2051000,1164.94748977707,993.926578965202,269.894967082389,87.9355279134546
2051500,1172.84281352034,1087.38978475728,294.497160240679,114.461794883402
2053200,1227.15959059946,1022.24485483872,318.380012792414,93.5050201224388
2053800,1180.07967199675,975.874791520936,355.96333470699,181.398565690529
2055100,1123.76735782652,973.112995039146,363.48801306996,190.716765016156
2056900,1160.57701366631,988.495424798281,377.655582282663,208.687404279515
2059500,1138.78751271359,1169.01506768105,323.248177631695,162.879312817124
2064000,1127.26471520732,1070.84832252982,323.875982966131,157.482334657639
2065500,1140.47891383235,1351.96572207461,330.422170616694,177.577828213086
2069700,1285.05291653737,994.015261282758,483.755445343589,310.464034162553
2070000,1208.9544058687,1374.95810122922,404.391284771519,247.965705736957
2074500,1192.93964572062,1250.0806792296,336.696944866161,178.346762626244
2077200,1190.6472429091,1044.68112307796,329.305886003477,88.2753115321622
2081500,1183.66204119967,1019.76765173468,299.399491104839,69.7030152323049
2082950,1189.63834652839,1154.06782666835,296.156860202655,107.803703309089
2092500,1369.15261493103,1191.77084837188,361.860152826236,117.282378411346
2096846,1228.45060434211,1165.03939469903,259.426454684342,60.7759043602752
2102908,1232.34942534485,1100.76127107796,475.484878330424,313.487496057519
2108000,1362.29429838073,1170.33628472217,389.273978580919,158.716964500837
2111180,1340.34414267365,993.882344034954,607.744319009367,341.599965065096
2111500,1301.92724084887,1076.11872629817,506.857767501361,337.142465801959
2112120,1300.12253482161,1022.81829744643,473.919312447006,300.331420532466
2112360,1258.15363811935,1046.13766924292,529.906845772394,361.01182209373
2118500,1291.7567731679,1041.43174212591,413.420312693043,243.952890175527
2125000,1179.25175813477,1122.58228710528,350.088744336712,64.0959720568603
